,danceability,energy,valence,tempo,spotify_track_popularity
danceability,1.0,0.2995894145271179,0.441949118580678,-0.24894978138447826,0.17704479264853296
energy,0.2995894145271179,1.0,0.43491084847631206,0.05883474382673544,-0.004484870880100784
valence,0.441949118580678,0.43491084847631206,1.0,0.031615020279778666,-0.13222748540347068
tempo,-0.24894978138447826,0.05883474382673544,0.031615020279778666,1.0,-0.05740099787712236
spotify_track_popularity,0.17704479264853296,-0.004484870880100784,-0.13222748540347068,-0.05740099787712236,1.0
