Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position
1984,June,1,Rock,6.867074555541286,1
1984,June,1,Pop,4.810499949184907,2
1984,June,1,R&B,4.42577668168539,3
1984,June,1,Dance,2.3978742265657673,4
1984,June,1,Soul,2.1082062454611474,5
1984,June,1,Easy Listening,1.7473472270341883,6
1984,June,1,Funk,1.101695524213584,7
1984,June,1,Metal,0.1147008547008547,8
1984,June,1,Latin,0.05263157894736842,9
1984,June,1,Other,0.04072313454335926,10
1984,June,2,Rock,8.079184090284391,1
1984,June,2,Pop,7.4064375488837495,2
1984,June,2,R&B,2.4618230718305196,3
1984,June,2,Easy Listening,2.2801601741410082,4
1984,June,2,Dance,1.446606249831049,5
1984,June,2,Soul,1.1033333333333333,6
1984,June,2,Funk,0.5955303030303031,7
1984,June,2,Metal,0.11692307692307694,8
1984,June,2,Latin,0.08333333333333333,9
1984,June,2,Other,0.041268058877287135,10
1984,June,3,Rock,8.471340686720987,1
1984,June,3,Pop,8.013683344296133,2
1984,June,3,Easy Listening,2.1942788924084518,3
1984,June,3,R&B,1.7920590799332297,4
1984,June,3,Dance,1.1483506749338934,5
1984,June,3,Soul,0.7547945205479452,6
1984,June,3,Funk,0.42166927483577854,7
1984,June,3,Latin,0.1764705882352941,8
1984,June,3,Metal,0.14398331137461573,9
1984,June,3,Reggae,0.058823529411764705,10
1984,June,4,Rock,9.134128658606853,1
1984,June,4,Pop,6.7504025142634045,2
1984,June,4,R&B,1.7979486032081886,3
1984,June,4,Easy Listening,1.7731544897555862,4
1984,June,4,Dance,1.1746891052141186,5
1984,June,4,Soul,0.7375867104782767,6
1984,June,4,Funk,0.4088647141242995,7
1984,June,4,Latin,0.375,8
1984,June,4,Metal,0.15474633510624222,9
1984,June,4,Reggae,0.125,10
1984,June,5,Rock,9.227141645167626,1
1984,June,5,Pop,5.303437947503646,2
1984,June,5,Easy Listening,1.7377316413021249,3
1984,June,5,R&B,1.1014280555833211,4
1984,June,5,Latin,1.0,5
1984,June,5,Dance,0.9002049672435397,6
1984,June,5,Reggae,0.3333333333333333,7
1984,June,5,Soul,0.33025229106108495,8
1984,June,5,Funk,0.22303880131783627,9
1984,June,5,Metal,0.1558222479275111,10
