Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position
1985,January,1,Rock,5.308263209485003,1
1985,January,1,Pop,3.9989236532181396,2
1985,January,1,Easy Listening,0.9501188138160226,3
1985,January,1,R&B,0.784317844662732,4
1985,January,1,Dance,0.6198603062823671,5
1985,January,1,Other,0.524264705882353,6
1985,January,1,Funk,0.31097242196421404,7
1985,January,1,Soul,0.18518518518518517,8
1985,January,1,Electronic,0.04889683959451401,9
1985,January,1,Metal,0.013513513513513514,10
1985,January,2,Rock,4.95308753320242,1
1985,January,2,Pop,3.5684309364677658,2
1985,January,2,Easy Listening,1.031799478665938,3
1985,January,2,Other,0.7769010043041606,4
1985,January,2,R&B,0.7142330038275945,5
1985,January,2,Dance,0.5706065821270713,6
1985,January,2,Funk,0.28213042976974867,7
1985,January,2,Soul,0.11484593837535013,8
1985,January,2,Electronic,0.05718954248366013,9
1985,January,2,Jazz,0.021052631578947368,10
1985,January,3,Rock,6.109609082369379,1
1985,January,3,Pop,3.1209845998516856,2
1985,January,3,Easy Listening,1.5062485696160752,3
1985,January,3,R&B,0.7229872289268512,4
1985,January,3,Other,0.6247294372294372,5
1985,January,3,Dance,0.5707691055325179,6
1985,January,3,Funk,0.2915442156821467,7
1985,January,3,Soul,0.11563218390804597,8
1985,January,3,Metal,0.08616088448341594,9
1985,January,3,Electronic,0.07037037037037036,10
1985,January,4,Rock,7.474043840354093,1
1985,January,4,Pop,2.997918363617288,2
1985,January,4,Easy Listening,1.8140038731731416,3
1985,January,4,R&B,0.7725661135831347,4
1985,January,4,Dance,0.6239576688877334,5
1985,January,4,Funk,0.3028639552667013,6
1985,January,4,Other,0.24767298911134528,7
1985,January,4,Metal,0.10815047021943575,8
1985,January,4,Soul,0.08887199756764974,9
1985,January,4,Electronic,0.08193979933110368,10
