Year,Month,WeekIndex,Genre,genre_weekly_score,weekly_position
2014,December,1,Pop,4.813039593578152,1
2014,December,1,Hip Hop,0.8647263848499912,2
2014,December,1,Country,0.4450947878715771,3
2014,December,1,Electronic,0.2515460729746444,4
2014,December,1,Latin,0.20910671961092128,5
2014,December,1,R&B,0.1988693613792613,6
2014,December,1,Rock,0.11637857517898272,7
2014,December,1,Dance,0.11458333333333333,8
2014,December,1,Other,0.038461538461538464,9
2014,December,1,Funk,0.03571428571428571,10
2014,December,2,Pop,4.733662605281533,1
2014,December,2,Hip Hop,0.8350006269620931,2
2014,December,2,Country,0.3602360923227166,3
2014,December,2,Electronic,0.2215564861012117,4
2014,December,2,Latin,0.170291931876234,5
2014,December,2,R&B,0.1640787960909912,6
2014,December,2,Rock,0.10744577302982473,7
2014,December,2,Dance,0.10329968944099378,8
2014,December,2,Funk,0.03125,9
2014,December,2,Reggae,0.02702702702702703,10
2014,December,3,Pop,4.604741347137565,1
2014,December,3,Hip Hop,0.9012229479448728,2
2014,December,3,Country,0.4720864986149513,3
2014,December,3,R&B,0.24116171123005592,4
2014,December,3,Electronic,0.23776238080361792,5
2014,December,3,Latin,0.15880579993483218,6
2014,December,3,Rock,0.12667048013574542,7
2014,December,3,Dance,0.10549038774845226,8
2014,December,3,Funk,0.027777777777777776,9
2014,December,3,Other,0.02631578947368421,10
2014,December,4,Pop,4.931816112696531,1
2014,December,4,Hip Hop,0.9355840834859823,2
2014,December,4,Country,0.5119628391951916,3
2014,December,4,R&B,0.26260680665818426,4
2014,December,4,Electronic,0.24641488779419812,5
2014,December,4,Latin,0.1698598769651401,6
2014,December,4,Rock,0.12857183339193146,7
2014,December,4,Dance,0.10480859010270774,8
2014,December,4,Other,0.031586021505376344,9
2014,December,4,Funk,0.027777777777777776,10
