index,SongID,Performer,Song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_duration_ms,spotify_track_explicit,spotify_track_album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,spotify_track_popularity,parsed_genres,broad_genre,country,country_name,top_genre,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_popularity
5,...Ready For It?Taylor Swift,Taylor Swift,...Ready For It?,"['pop', 'post-teen pop']",2yLa0QULdQr0qAIvVwN6B5,,208186.0,False,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02'}, 'href': 'https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02', 'id': '06HL4z0CvFAxyc27GXpf02', 'name': 'Taylor Swift', 'type': 'artist', 'uri': 'spotify:artist:06HL4z0CvFAxyc27GXpf02'}], 'available_markets': ['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW'], 'external_urls': {'spotify': 'https://open.spotify.com/album/6DEjYFkNZh67HP7R9PSZvv'}, 'href': 'https://api.spotify.com/v1/albums/6DEjYFkNZh67HP7R9PSZvv', 'id': '6DEjYFkNZh67HP7R9PSZvv', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273da5d5aeeabacacc1263c0f4b', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02da5d5aeeabacacc1263c0f4b', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851da5d5aeeabacacc1263c0f4b', 'width': 64}], 'name': 'reputation', 'release_date': '2017-11-10', 'release_date_precision': 'day', 'total_tracks': 15, 'type': 'album', 'uri': 'spotify:album:6DEjYFkNZh67HP7R9PSZvv'}",0.6129999999999999,0.764,2.0,-6.509,1.0,0.136,0.0527,0.0,0.197,0.4169999999999999,160.015,4.0,73.0,"['pop', 'post-teen pop']","['pop', 'pop']",IE,Ireland,pop,0.610120776579129,0.6172784533798263,0.5103074861065708,124.397761541535,85.8435581707893
49,(Don't Fear) The ReaperBlue Oyster Cult,Blue Oyster Cult,(Don't Fear) The Reaper,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']",5QTxFnGygVM4jFQiBovmRo,https://p.scdn.co/mp3-preview/596db216a6621b8c0e2f87fb343f33a9c0bd8878?cid=b8d3901151d34489a160e3cf0ab1fa94,308120.0,False,Agents Of Fortune,0.333,0.927,9.0,-8.55,0.0,0.0733,0.0029,0.000211,0.2969999999999999,0.382,141.47,4.0,77.0,"['album rock', 'art rock', 'blues rock', 'classic rock', 'hard rock', 'metal', 'psychedelic rock', 'rock', 'soft rock']","['rock', 'rock', 'rock', 'rock', 'rock', 'metal', 'rock', 'rock', 'rock']",US,United States,rock,0.6350559867002814,0.6015873667287807,0.4931279206401403,123.52053823669115,86.69067192809383
174,(Sittin' On) The Dock Of The BayOtis Redding,Otis Redding,(Sittin' On) The Dock Of The Bay,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",3zBhihYUHBmGd2bcQIobrF,https://p.scdn.co/mp3-preview/99bfd8043cd20bc3dc4b7aa9461ac268954efdf7?cid=b8d3901151d34489a160e3cf0ab1fa94,163755.0,False,The Dock of the Bay (Mono),0.769,0.3669999999999999,2.0,-11.226,1.0,0.0312,0.684,1.6e-05,0.081,0.535,103.621,4.0,73.0,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']","['soul', 'funk', 'soul', 'soul', 'blues', 'soul']",NZ,New Zealand,soul,0.640639082715511,0.6213347543247565,0.5303155654891699,125.31135768280274,86.63221398459078
346,24K MagicBruno Mars,Bruno Mars,24K Magic,"['dance pop', 'pop']",6b8Be6ljOzmkOmFslEb23P,https://p.scdn.co/mp3-preview/3213a35ec32d4c747e794072a5ef7b464b4fcb69?cid=b8d3901151d34489a160e3cf0ab1fa94,225983.0,False,"{'album_type': 'album', 'artists': [{'external_urls': {'spotify': 'https://open.spotify.com/artist/0du5cEVh5yTK9QJze8zA0C'}, 'href': 'https://api.spotify.com/v1/artists/0du5cEVh5yTK9QJze8zA0C', 'id': '0du5cEVh5yTK9QJze8zA0C', 'name': 'Bruno Mars', 'type': 'artist', 'uri': 'spotify:artist:0du5cEVh5yTK9QJze8zA0C'}], 'available_markets': ['AD', 'AE', 'AG', 'AL', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BB', 'BD', 'BE', 'BF', 'BG', 'BH', 'BI', 'BJ', 'BN', 'BO', 'BR', 'BS', 'BT', 'BW', 'BY', 'BZ', 'CA', 'CH', 'CI', 'CL', 'CM', 'CO', 'CR', 'CV', 'CW', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DM', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FJ', 'FM', 'FR', 'GA', 'GB', 'GD', 'GE', 'GH', 'GM', 'GN', 'GQ', 'GR', 'GT', 'GW', 'GY', 'HK', 'HN', 'HR', 'HT', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KE', 'KG', 'KH', 'KI', 'KM', 'KN', 'KR', 'KW', 'KZ', 'LA', 'LB', 'LC', 'LI', 'LK', 'LR', 'LS', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MG', 'MH', 'MK', 'ML', 'MN', 'MO', 'MR', 'MT', 'MU', 'MV', 'MW', 'MX', 'MY', 'MZ', 'NA', 'NE', 'NG', 'NI', 'NL', 'NO', 'NP', 'NR', 'NZ', 'OM', 'PA', 'PE', 'PG', 'PH', 'PK', 'PL', 'PS', 'PT', 'PW', 'PY', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SB', 'SC', 'SE', 'SG', 'SI', 'SK', 'SL', 'SM', 'SN', 'SR', 'ST', 'SV', 'SZ', 'TD', 'TG', 'TH', 'TL', 'TN', 'TO', 'TR', 'TT', 'TV', 'TW', 'TZ', 'UA', 'UG', 'US', 'UY', 'UZ', 'VC', 'VN', 'VU', 'WS', 'XK', 'ZA', 'ZM', 'ZW'], 'external_urls': {'spotify': 'https://open.spotify.com/album/4PgleR09JVnm3zY1fW3XBA'}, 'href': 'https://api.spotify.com/v1/albums/4PgleR09JVnm3zY1fW3XBA', 'id': '4PgleR09JVnm3zY1fW3XBA', 'images': [{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02232711f7d66a1e19e89e28c5', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851232711f7d66a1e19e89e28c5', 'width': 64}], 'name': '24K Magic', 'release_date': '2016-11-17', 'release_date_precision': 'day', 'total_tracks': 9, 'type': 'album', 'uri': 'spotify:album:4PgleR09JVnm3zY1fW3XBA'}",0.818,0.803,1.0,-4.282,1.0,0.0796999999999999,0.034,0.0,0.153,0.632,106.97,4.0,79.0,"['dance pop', 'pop']","['pop', 'pop']",TW,"Taiwan, Province of China",pop,0.6342305554553002,0.6211350597321976,0.4954937452629299,125.31618197567401,74.09048254953622
382,4 MinutesMadonna Featuring Justin Timberlake & Timbaland,Madonna Featuring Justin Timberlake & Timbaland,4 Minutes,"['dance pop', 'pop']",1oHClQEgDmmbcEx12Kc5nZ,https://p.scdn.co/mp3-preview/3017f41234c54ef09c66f4d2ff47e1acee8d8a4e?cid=b8d3901151d34489a160e3cf0ab1fa94,189693.0,False,Celebration (double disc version),0.753,0.931,2.0,-4.922,1.0,0.0652,0.00994,0.00696,0.234,0.767,113.029,4.0,70.0,"['dance pop', 'pop']","['pop', 'pop']",BG,Bulgaria,pop,0.6998933838255106,0.7741705130539271,0.6316745439318355,135.3886122419255,61.34959764046171
429,7 YearsLukas Graham,Lukas Graham,7 Years,"['danish pop', 'pop', 'scandipop']",5kqIPrATaCc2LqxVWzQGbk,https://p.scdn.co/mp3-preview/3261944a4e12e2c7bee9266b1b14558e71a97964?cid=b8d3901151d34489a160e3cf0ab1fa94,237300.0,False,Lukas Graham,0.765,0.4729999999999999,10.0,-5.829,1.0,0.0514,0.2869999999999999,0.0,0.391,0.34,119.992,4.0,81.0,"['danish pop', 'pop', 'scandipop']","['pop', 'pop', 'pop']",BE,Belgium,pop,0.6578990650157034,0.6506996108443739,0.5248109328183098,125.32986502292336,83.74531605357207
449,9 To 5Dolly Parton,Dolly Parton,9 To 5,"['classic country pop', 'country', 'country dawn']",4w3tQBXhn5345eUXDGBWZG,https://p.scdn.co/mp3-preview/a3c584358e68ee984ac4b1f31d4a832fb46aeeb9?cid=b8d3901151d34489a160e3cf0ab1fa94,162466.0,False,9 To 5 And Odd Jobs,0.554,0.783,6.0,-5.852,1.0,0.0457,0.4159999999999999,2e-06,0.631,0.813,105.39,4.0,77.0,"['classic country pop', 'country', 'country dawn']","['pop', 'country', 'country']",SE,Sweden,country,0.6261758090262661,0.6056143883326077,0.5234225438978378,125.18715048614133,72.82161515019591
686,A Sky Full Of StarsColdplay,Coldplay,A Sky Full Of Stars,"['permanent wave', 'pop']",0FDzzruyVECATHXKHFs9eJ,https://p.scdn.co/mp3-preview/dca7402083b8dbf0e2a5e91f49eb76bde94cd493?cid=b8d3901151d34489a160e3cf0ab1fa94,268466.0,False,Ghost Stories,0.551,0.636,6.0,-7.125,1.0,0.0281,0.00713,0.00203,0.217,0.153,124.996,4.0,79.0,"['permanent wave', 'pop']",['pop'],HK,Hong Kong,pop,0.612475272937604,0.6154612030944979,0.4903842636107295,132.29014351818378,69.70591425059649
826,AdornMiguel,Miguel,Adorn,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",25cUhiAod71TIQSNicOaW3,https://p.scdn.co/mp3-preview/32d8acbc6109d3e3371074cc3385a636b1eb0ed7?cid=b8d3901151d34489a160e3cf0ab1fa94,193146.0,False,Kaleidoscope Dream,0.625,0.5759999999999998,11.0,-5.693,0.0,0.1749999999999999,0.0543,4.1e-05,0.187,0.2349999999999999,179.063,4.0,67.0,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']","['pop', 'pop', 'pop', 'r&b', 'r&b']",ZA,South Africa,pop,0.7230528709700894,0.6173818026344516,0.519034207845135,119.56291008660214,67.47609344298085
830,Adventure Of A LifetimeColdplay,Coldplay,Adventure Of A Lifetime,"['permanent wave', 'pop']",69uxyAqqPIsUyTO8txoP2M,https://p.scdn.co/mp3-preview/f5c8203c517a906dd581e0faeca84d1e0206c8b6?cid=b8d3901151d34489a160e3cf0ab1fa94,263786.0,False,A Head Full of Dreams,0.638,0.924,7.0,-3.887,1.0,0.0359,0.00205,0.000173,0.1489999999999999,0.529,111.995,4.0,75.0,"['permanent wave', 'pop']",['pop'],HK,Hong Kong,pop,0.612475272937604,0.6154612030944979,0.4903842636107295,132.29014351818378,69.70591425059649
