,danceability,energy,valence,tempo,spotify_track_popularity
danceability,1.0,-0.15887793458188096,0.38160528539292693,-0.31792318198092573,0.14829480452623384
energy,-0.15887793458188096,1.0,0.2722943042093306,0.16172679571396392,0.03286454369052154
valence,0.38160528539292693,0.2722943042093306,1.0,0.0012499064233115298,-0.25593478009283505
tempo,-0.31792318198092573,0.16172679571396392,0.0012499064233115298,1.0,-0.0474697410289006
spotify_track_popularity,0.14829480452623384,0.03286454369052154,-0.25593478009283505,-0.0474697410289006,1.0
